206002868,227008638,"John Ellis, Classical guitarist and teacher","Ellis, John","John Ellis played and taught classical guitar for about seven years, during which time he took students to fourth grade at the Conservatorium. Because he was teaching more than playing for himself, he lost interest in the instrument. Soon after he joined the Victorian Recorder Guild and played for about 10 years. After retiring in 1990 he found it difficult to find time for daily practice and ceased instrumental playing after 50 years Previous Control Number: UMA/I/93 Previous Control Number: JE039-37; 200081 Item: [1999.0081.00293] ""John Ellis, Classical guitarist and teacher""",http://trove.nla.gov.au/version/227008638,http://hdl.handle.net/11343/76306,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104423
206002638,227008389,Mark Ellis,"Ellis, John","Mark Ellis, January 1976 Previous Control Number: UMA/I/159 Previous Control Number: JE091-31; 200119 Item: [1999.0081.00044] ""Mark Ellis""",http://trove.nla.gov.au/version/227008389,http://hdl.handle.net/11343/76057,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104550
206002638,227008355,Mark Ellis,"Ellis, John","Eldest son of John Ellis Previous Control Number: UMA/I/80 Previous Control Number: JE037-10; 200068 Item: [1999.0081.00010] ""Mark Ellis""",http://trove.nla.gov.au/version/227008355,http://hdl.handle.net/11343/76023,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104421
210995931,231689712,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/204 Previous Control Number: JE105-21; 200199 Item: [1999.0081.00628] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689712,http://hdl.handle.net/11343/76641,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104593
210995931,231689709,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/200 Previous Control Number: JE103-28; 200194 Item: [1999.0081.00232] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689709,http://hdl.handle.net/11343/76245,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104588
210995931,231689714,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/199 Previous Control Number: JE103-27; 200193 Item: [1999.0081.00708] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689714,http://hdl.handle.net/11343/76721,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104587
210995931,231689713,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/195 Previous Control Number: JE103-17; 200188 Item: [1999.0081.00650] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689713,http://hdl.handle.net/11343/76663,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104584
210995931,231689710,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/202 Previous Control Number: JE104-30; 200196 Item: [1999.0081.00287] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689710,http://hdl.handle.net/11343/76300,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104590
210995931,231689711,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/197 Previous Control Number: JE103-23; 200190 Item: [1999.0081.00541] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689711,http://hdl.handle.net/11343/76554,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104586
210995931,231689715,"Sir John Kerr demonstration, 23rd June 1976","Ellis, John","The Law Institute of Victoria hosted a dinner for John Kerr on the 23rd June 1976 at the Leonda Restaurant in Hawthorn. Due to the enormous publicity given to the first protest, this time the crowd was at least twice the size. There were enough people to successfully block entry to the restaurant, and the police had to finally batter a way through with mounted police for Kerr's car to proceed. Previous Control Number: UMA/I/196 Previous Control Number: JE103-20; 200189 Item: [1999.0081.00764] ""Sir John Kerr demonstration, 23rd June 1976""",http://trove.nla.gov.au/version/231689715,http://hdl.handle.net/11343/76777,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104585
